,depth below surface (mm),pex_x,pex_y,pex_z,mean_pex (mm),pc_x,pc_y,pc_z ,mean_pc (mm),phi_i,rho (kgm-3),ssa (mm-1),,,pex [(px+py+pz)/3] (mm),Aniso [(pex_x+pex_y)/2]/pex_z
'D0001412_GREY_BOT09_corr.dat',166.4,0.103450836,0.108763889,0.083429575,0.094768469,0.153708781,0.155295129,0.123347235,0.138924595,0.21989,201.63913,22.46139349,,,0.098548369,1.271819525
'D0001412_GREY_BOT10_corr.dat',167.68,0.110183781,0.110816853,0.083140064,0.096820191,0.158546862,0.159177438,0.125336655,0.142099403,0.228151,209.214467,21.72701605,,,0.101380937,1.329086256
'D0001412_GREY_BOT11_corr.dat',168.96,0.112940238,0.112460502,0.091221944,0.101961157,0.161550526,0.160959351,0.129020136,0.145137538,0.204612,187.629204,21.92094516,,,0.105541405,1.235452405
'D0001412_GREY_BOT12_corr.dat',170.24,0.10715682,0.102577481,0.090627254,0.097747203,0.156866741,0.1537898,0.130199274,0.142763772,0.214638,196.823046,22.00451802,,,0.100120786,1.157125981
'D0001412_GREY_BOT13_corr.dat',171.52,0.10328475,0.09953722,0.084564488,0.092987736,0.152836225,0.149880478,0.123851852,0.137605102,0.236516,216.885172,22.19347947,,,0.095795486,1.199214796
'D0001412_GREY_BOT14_corr.dat',172.8,0.102657305,0.103417119,0.084935259,0.093986236,0.152742813,0.151838311,0.126111626,0.139201094,0.22967,210.60739,22.13574559,,,0.097003215,1.213126484
'D0001412_GREY_BOT15_corr.dat',174.08,0.108234316,0.112326699,0.091719951,0.101000229,0.15789837,0.159558274,0.130164921,0.144446621,0.196439,180.134563,22.2521231,,,0.104093898,1.202361162
'D0001412_GREY_BOT16_corr.dat',175.36,0.111372445,0.116410766,0.092221506,0.103056556,0.161156362,0.16058032,0.128583214,0.144725777,0.188141,172.525297,22.4385459,,,0.106668011,1.234978802
'D0001412_GREY_BOT17_corr.dat',176.64,0.113511497,0.119092376,0.085052962,0.100677449,0.161656663,0.162273549,0.122362562,0.142163834,0.202665,185.843805,22.43425706,,,0.105885785,1.367406075
'D0001412_GREY_BOT18_corr.dat',177.92,0.110932203,0.121176473,0.081212814,0.098633576,0.157544474,0.161948077,0.119977538,0.139861906,0.218788,200.628596,22.34238099,,,0.104441014,1.429015108
'D0001412_GREY_BOT19_corr.dat',179.2,0.108507997,0.11768875,0.083365641,0.098232007,0.155988117,0.15905583,0.123606403,0.140564188,0.21831,200.19027,22.24435711,,,0.103187981,1.356654517
'D0001412_GREY_BOT20_corr.dat',180.48,0.105897075,0.110205368,0.084587652,0.096319437,0.153186343,0.155324969,0.123451792,0.138853724,0.207871,190.617707,22.8190927,,,0.100230286,1.277387652
'D0001412_GREY_BOT21_corr.dat',181.76,0.107005042,0.107645198,0.08136472,0.09434492,0.153797444,0.154674333,0.120597498,0.137416694,0.200095,183.487115,23.28407064,,,0.09867157,1.319062123
'D0001412_GREY_BOT22_corr.dat',183.04,0.117798462,0.113355499,0.088289377,0.101933179,0.163887975,0.162088839,0.130014676,0.146501542,0.199107,182.581119,21.86715556,,,0.106481268,1.309070069
'D0001412_GREY_BOT23_corr.dat',184.32,0.121761734,0.11881426,0.091208654,0.105748326,0.166463102,0.166427502,0.135542106,0.150993704,0.192824,176.819608,21.3830373,,,0.110596188,1.31882219
'D0001412_GREY_BOT24_corr.dat',185.6,0.118443247,0.120870464,0.086849285,0.10325307,0.164290901,0.166328969,0.129210315,0.147260125,0.175664,161.083888,22.39128891,,,0.108721838,1.377752905
'D0001412_GREY_BOT25_corr.dat',186.88,0.113177737,0.112213652,0.085449461,0.099072578,0.159835159,0.158041187,0.124426771,0.141682472,0.203233,186.364661,22.49444093,,,0.103614291,1.318857875
NaN,188.16,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,#VALUE!,#VALUE!,,,NaN,#VALUE!
NaN,189.44,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,#VALUE!,#VALUE!,,,NaN,#VALUE!
NaN,190.72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,#VALUE!,#VALUE!,,,NaN,#VALUE!
NaN,192,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,#VALUE!,#VALUE!,,,NaN,#VALUE!
NaN,193.28,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,#VALUE!,#VALUE!,,,NaN,#VALUE!
NaN,194.56,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,#VALUE!,#VALUE!,,,NaN,#VALUE!
NaN,195.84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,#VALUE!,#VALUE!,,,NaN,#VALUE!
NaN,197.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,#VALUE!,#VALUE!,,,NaN,#VALUE!
NaN,198.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,#VALUE!,#VALUE!,,,NaN,#VALUE!
'D0001420_GREY_TOP00_corr.dat',199.68,0.100740694,0.103848752,0.086788384,0.094541554,0.141338161,0.143577339,0.122107669,0.13228271,0.283215,259.708155,21.6743368,,,0.097125986,1.178668359
'D0001420_GREY_TOP01_corr.dat',200.96,0.09813404,0.09935888,0.084442497,0.091594478,0.146248024,0.149051877,0.123207484,0.135428717,0.245114,224.769538,22.29618694,,,0.093978529,1.169392947
'D0001420_GREY_TOP02_corr.dat',202.24,0.102731308,0.100601915,0.089098059,0.095382335,0.151068432,0.151192789,0.128332169,0.13973139,0.242452,222.328484,21.68583599,,,0.097477016,1.141064273
'D0001420_GREY_TOP03_corr.dat',203.52,0.113553388,0.113722283,0.092350076,0.102993956,0.160542136,0.160974166,0.132751886,0.146755019,0.234396,214.941132,20.86753848,,,0.106541784,1.230511552
'D0001420_GREY_TOP04_corr.dat',204.8,0.144826818,0.149846367,0.112268526,0.129802559,0.181700393,0.18501097,0.155107965,0.169231824,0.263244,241.394748,17.41412423,,,0.13566365,1.31235884
'D0001420_GREY_TOP05_corr.dat',206.08,0.159130121,0.17252516,0.120018935,0.142923288,0.18566302,0.190853389,0.155450265,0.171854235,0.23846,218.66782,17.72525419,,,0.150673248,1.381678985
'D0001420_GREY_TOP06_corr.dat',207.36,0.125277074,0.128453745,0.084952147,0.105908779,0.161889715,0.166532823,0.120753293,0.142482281,0.194671,178.513307,22.60853755,,,0.112893839,1.493374964
'D0001420_GREY_TOP07_corr.dat',208.64,0.116638721,0.112727283,0.078688182,0.096685592,0.153777298,0.154471427,0.113602443,0.133863403,0.219122,200.934874,23.33357683,,,0.102684709,1.457436175
'D0001420_GREY_TOP08_corr.dat',209.92,0.109609907,0.104261103,0.0841063,0.095520902,0.154338983,0.153154218,0.119880502,0.136813551,0.230865,211.703205,22.48709993,,,0.099325901,1.271432765
'D0001420_GREY_TOP09_corr.dat',211.2,0.107714186,0.100492633,0.087525862,0.095814636,0.155946278,0.153371456,0.128753212,0.141706039,0.255922,234.680474,21.0034238,,,0.098598475,1.189401711
'D0001420_GREY_TOP10_corr.dat',212.48,0.108139304,0.103305888,0.090929157,0.098325876,0.155947543,0.153990408,0.129716517,0.142342746,0.260505,238.883085,20.78068658,,,0.100791439,1.162691915
'D0001420_GREY_TOP11_corr.dat',213.76,0.126239328,0.121856977,0.083881087,0.10396462,0.16473288,0.163338491,0.12115852,0.142597103,0.234406,214.950302,21.47572382,,,0.110660144,1.47885724
'D0001420_GREY_TOP12_corr.dat',215.04,0.141087895,0.136506783,0.075725398,0.107261369,0.166395047,0.165371179,0.110210993,0.138047053,0.211257,193.722669,22.85432346,,,0.117775803,1.832903391
'D0001420_GREY_TOP13_corr.dat',216.32,0.131416612,0.131966197,0.075687277,0.10368934,0.162110354,0.162527462,0.10998058,0.136149744,0.207142,189.949214,23.29370521,,,0.113021021,1.739941114
'D0001420_GREY_TOP14_corr.dat',217.6,0.126270555,0.124925687,0.07231982,0.098958971,0.160962498,0.159855059,0.107242292,0.133825535,0.224787,206.129679,23.17085448,,,0.107837548,1.736703994
'D0001420_GREY_TOP15_corr.dat',218.88,0.120901693,0.112130312,0.069659062,0.093087532,0.157078741,0.153280847,0.104605402,0.129892598,0.231939,212.688063,23.65218686,,,0.100897432,1.672661092
'D0001420_GREY_TOP16_corr.dat',220.16,0.124635869,0.111767146,0.071956469,0.095078989,0.159656703,0.154033907,0.107581177,0.132213241,0.22845,209.48865,23.34259397,,,0.102786625,1.642680763
'D0001420_GREY_TOP17_corr.dat',221.44,0.13387827,0.124895705,0.072193016,0.100790002,0.160036931,0.159257626,0.107963874,0.133805576,0.223117,204.598289,23.22423389,,,0.110319894,1.792236918
'D0001420_GREY_TOP18_corr.dat',222.72,0.131972682,0.132121351,0.078156335,0.105101676,0.160569958,0.163153026,0.113128834,0.137495163,0.203811,186.894687,23.16267658,,,0.114083241,1.689524155
'D0001420_GREY_TOP19_corr.dat',224,0.115784838,0.116911198,0.089053068,0.102700543,0.157651599,0.158877778,0.124510558,0.141387623,0.219978,201.719826,22.0676176,,,0.107250393,1.306502085
'D0001420_GREY_BOT00_corr.dat',225.28,0.117294018,0.118572346,0.090534649,0.104233915,0.156009405,0.159935452,0.129059801,0.143516115,0.267074,244.906858,20.42769906,,,0.108800696,1.30263035
'D0001420_GREY_BOT01_corr.dat',226.56,0.11870316,0.120614376,0.093119236,0.106389002,0.157761524,0.163288732,0.130870608,0.145697868,0.246023,225.603091,20.69974007,,,0.110812593,1.285005901
'D0001420_GREY_BOT02_corr.dat',227.84,0.117431855,0.124068682,0.096327311,0.10853879,0.15687832,0.162475151,0.131237993,0.145457364,0.241305,221.276685,20.86370818,,,0.112608756,1.253541368
'D0001420_GREY_BOT03_corr.dat',229.12,0.11273809,0.120431166,0.091986613,0.104285621,0.153218488,0.156220438,0.126544781,0.140632122,0.237316,217.618772,21.69302401,,,0.108384995,1.267408637
'D0001420_GREY_BOT04_corr.dat',230.4,0.108864759,0.115181477,0.09013879,0.101080954,0.15298371,0.15427877,0.127454646,0.140542943,0.243231,223.042827,21.53844181,,,0.104728023,1.242784793
'D0001420_GREY_BOT05_corr.dat',231.68,0.110072992,0.110175419,0.092736327,0.101430266,0.155285917,0.155819233,0.131730756,0.143641665,0.247052,226.546684,20.96739825,,,0.104327941,1.187498027
'D0001420_GREY_BOT06_corr.dat',232.96,0.110689953,0.106835666,0.09121595,0.09998938,0.156684618,0.155715003,0.129039501,0.142619656,0.247421,226.885057,21.107301,,,0.102913623,1.192366125
'D0001420_GREY_BOT07_corr.dat',234.24,0.110030594,0.109900774,0.090829058,0.100397371,0.159997416,0.159447974,0.130571569,0.145147132,0.246475,226.017575,20.7658254,,,0.103586495,1.210688372
'D0001420_GREY_BOT08_corr.dat',235.52,0.11141671,0.110060698,0.093174486,0.101956595,0.162876349,0.161703548,0.135692285,0.148991117,0.243384,223.183128,20.31304999,,,0.104908711,1.188508881
'D0001420_GREY_BOT09_corr.dat',236.8,0.114738381,0.109363081,0.09182734,0.101939036,0.162189685,0.160159689,0.131929039,0.146551863,0.246121,225.692957,20.57644262,,,0.105309878,1.220232786
'D0001420_GREY_BOT10_corr.dat',238.08,0.115869288,0.113762572,0.087688111,0.10125202,0.162738673,0.162151531,0.129067031,0.145756067,0.243619,223.398623,20.75744818,,,0.105774196,1.309367128
'D0001420_GREY_BOT11_corr.dat',239.36,0.116348203,0.113342987,0.091212021,0.103028808,0.164382305,0.163383378,0.13162419,0.147753516,0.240821,220.832857,20.5525803,,,0.106968145,1.259105913
'D0001420_GREY_BOT12_corr.dat',240.64,0.116223795,0.110123756,0.091567036,0.102370406,0.163171779,0.160195319,0.129651114,0.145667332,0.247371,226.839207,20.66706354,,,0.105971876,1.235966354
'D0001420_GREY_BOT13_corr.dat',241.92,0.115550961,0.110687602,0.087626814,0.100373048,0.160489834,0.157343493,0.125403755,0.142160209,0.257131,235.789127,20.90230464,,,0.104621773,1.290920857
'D0001420_GREY_BOT14_corr.dat',243.2,0.120957818,0.115888875,0.088772501,0.103597924,0.16023722,0.157561542,0.124561105,0.141730243,0.241263,221.238171,21.41355249,,,0.108539143,1.334009351
'D0001420_GREY_BOT15_corr.dat',244.48,0.126000074,0.118309319,0.083815711,0.102985204,0.158888129,0.153125618,0.119436801,0.137721837,0.246567,226.101939,21.88274614,,,0.109374647,1.457420037
'D0001420_GREY_BOT16_corr.dat',245.76,0.128483221,0.119174965,0.090022003,0.106925548,0.161235239,0.153415245,0.125216072,0.141270657,0.254624,233.490208,21.10490645,,,0.112559814,1.375542528
'D0001420_GREY_BOT17_corr.dat',247.04,0.134071795,0.126920219,0.112833365,0.121664686,0.16746962,0.161244712,0.139282438,0.151819802,0.23384,214.43128,20.18603604,,,0.124609453,1.156537411
'D0001420_GREY_BOT18_corr.dat',248.32,0.13924025,0.131349764,0.110605661,0.122950334,0.170511407,0.163248999,0.137983077,0.15243164,0.234252,214.809084,20.09420093,,,0.127045325,1.223219547
'D0001420_GREY_BOT19_corr.dat',249.6,0.130960673,0.125894266,0.107506981,0.117967225,0.167653829,0.158803433,0.136717411,0.149973021,0.24506,224.72002,20.1353549,,,0.121427091,1.194596563
'D0001420_GREY_BOT20_corr.dat',250.88,0.121775869,0.125774548,0.107005999,0.115390604,0.163006766,0.156410083,0.134267931,0.146988178,0.246067,225.643439,20.51683372,,,0.118184708,1.156712803
'D0001420_GREY_BOT21_corr.dat',252.16,0.12384595,0.120598028,0.09985549,0.11103874,0.163091485,0.153952454,0.130629846,0.144575908,0.255854,234.618118,20.58838189,,,0.1147671,1.223988674
'D0001420_GREY_BOT22_corr.dat',253.44,0.11901849,0.112507827,0.092241765,0.104002462,0.159360304,0.149834748,0.12754277,0.141070148,0.279293,256.111681,20.43542195,,,0.107922696,1.254997217
'D0001420_GREY_BOT23_corr.dat',254.72,0.110104742,0.112467677,0.094582396,0.102934303,0.154241109,0.147824246,0.126599575,0.138816126,0.282133,258.715961,20.68540649,,,0.105718157,1.176605941
'D0001420_GREY_BOT24_corr.dat',256,0.115921942,0.115419367,0.095230379,0.105450517,0.155959332,0.148891155,0.126243756,0.1393345,0.270036,247.623012,20.9557289,,,0.108857239,1.214640279
NaN,257.28,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,#VALUE!,#VALUE!,,,NaN,#VALUE!
NaN,258.56,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,#VALUE!,#VALUE!,,,NaN,#VALUE!
NaN,259.84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,#VALUE!,#VALUE!,,,NaN,#VALUE!
NaN,261.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,#VALUE!,#VALUE!,,,NaN,#VALUE!
NaN,262.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,#VALUE!,#VALUE!,,,NaN,#VALUE!
NaN,263.68,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,#VALUE!,#VALUE!,,,NaN,#VALUE!
NaN,264.96,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,#VALUE!,#VALUE!,,,NaN,#VALUE!
'D0001442_GREY_TOP00_corr.dat',266.24,0.138283683,0.138207463,0.113558508,0.125902041,0.195014732,0.193680087,0.160700999,0.177524204,0.288281,264.353677,16.03655126,,,0.130016553,1.217395112
'D0001442_GREY_TOP01_corr.dat',268.8,0.137358353,0.137102319,0.115629489,0.126429912,0.210229911,0.208568202,0.169301558,0.189350307,0.244478,224.186326,15.96030152,,,0.130030054,1.186810889
'D0001442_GREY_TOP02_corr.dat',271.36,0.128563847,0.127807831,0.110219011,0.119202425,0.199742151,0.198467799,0.163644271,0.181374623,0.270948,248.459316,16.07836836,,,0.122196896,1.16301025
'D0001442_GREY_TOP03_corr.dat',273.92,0.12498797,0.125567569,0.104957795,0.115117782,0.194140031,0.194002642,0.159056202,0.176563769,0.289297,265.285349,16.10076636,,,0.118504444,1.193601383
'D0001442_GREY_TOP04_corr.dat',276.48,0.131382055,0.131289782,0.10416829,0.117752104,0.198450044,0.19788956,0.157118113,0.177643958,0.283651,260.107967,16.12999417,,,0.122309169,1.260805164
'D0001442_GREY_TOP05_corr.dat',279.04,0.147595442,0.14334917,0.105639408,0.125555857,0.209095902,0.206044784,0.157389754,0.182480048,0.263687,241.800979,16.14013163,,,0.132194673,1.377064756
'D0001442_GREY_TOP06_corr.dat',281.6,0.148529764,0.142433071,0.107743698,0.126612558,0.210043433,0.206244872,0.159612299,0.183878226,0.25715,235.80655,16.15960773,,,0.132902177,1.350254537
'D0001442_GREY_TOP07_corr.dat',284.16,0.13319981,0.131638222,0.10904364,0.120731328,0.20249184,0.200164348,0.163366524,0.182347309,0.273114,250.445538,15.94508862,,,0.124627224,1.214367165
'D0001442_GREY_TOP08_corr.dat',286.72,0.135524883,0.136515041,0.116110489,0.126065226,0.209166622,0.208231937,0.17278088,0.19074008,0.262061,240.309937,15.47527926,,,0.129383471,1.171470064
'D0001442_GREY_TOP09_corr.dat',289.28,0.138731276,0.138191123,0.119655522,0.129058361,0.213148075,0.21204845,0.177018069,0.194808166,0.253166,232.153222,15.33475759,,,0.132192641,1.157165141
'D0001442_GREY_TOP10_corr.dat',291.84,0.141902343,0.139712353,0.121353955,0.131080652,0.214880714,0.213719131,0.176956419,0.195628171,0.25059,229.79103,15.323151,,,0.134322884,1.160302916
'D0001442_GREY_TOP11_corr.dat',294.4,0.144452566,0.142973557,0.120873633,0.132293347,0.216866008,0.217898403,0.178033393,0.1977078,0.25033,229.55261,15.16723167,,,0.136099918,1.188952938
'D0001442_GREY_TOP12_corr.dat',296.96,0.142172347,0.142055699,0.119792881,0.130953452,0.213969714,0.21643388,0.177478601,0.196340199,0.256595,235.297615,15.14524289,,,0.134673642,1.186331121
'D0001442_GREY_BOT00_corr.dat',299.52,0.133314516,0.137001866,0.115135411,0.125146801,0.207939688,0.209896741,0.17313548,0.191026847,0.26578,243.72026,15.37417405,,,0.128513085,1.173906363
'D0001442_GREY_BOT01_corr.dat',302.08,0.133059118,0.136122893,0.115352961,0.124971983,0.208523335,0.209888103,0.171839592,0.190522656,0.273785,251.060845,15.24679567,,,0.128178324,1.166775471
'D0001442_GREY_BOT02_corr.dat',304.64,0.126322636,0.128842974,0.108142982,0.117862893,0.199939586,0.201095702,0.1641504,0.182334022,0.288312,264.382104,15.61284048,,,0.121102864,1.179760375
'D0001442_GREY_BOT03_corr.dat',307.2,0.130563136,0.133600429,0.106845625,0.119463703,0.200569798,0.202055355,0.161389484,0.18135103,0.293429,269.074393,15.58460407,,,0.12366973,1.23619271
'D0001442_GREY_BOT04_corr.dat',309.76,0.157841548,0.161571767,0.113626482,0.13666657,0.222236301,0.222830714,0.168375579,0.195454543,0.276272,253.341424,14.81117784,,,0.1443466,1.405540809
'D0001442_GREY_BOT05_corr.dat',312.32,0.186523064,0.188775779,0.127275538,0.15746248,0.248661788,0.245438246,0.183089728,0.215069872,0.255615,234.398955,13.84452395,,,0.16752479,1.474355758
'D0001442_GREY_BOT06_corr.dat',314.88,0.197518173,0.196392594,0.145619542,0.171287462,0.261202705,0.257406961,0.198917557,0.229111195,0.238393,218.606381,13.29672259,,,0.179843473,1.352534017
'D0001442_GREY_BOT07_corr.dat',317.44,0.187205461,0.189517352,0.160198817,0.174280112,0.261959784,0.261597672,0.21496144,0.238370084,0.235015,215.508755,12.83692966,,,0.178973865,1.175797733
'D0001442_GREY_BOT08_corr.dat',320,0.186595687,0.192129437,0.171790076,0.180576319,0.265613039,0.266953342,0.229161906,0.247722548,0.240222,220.283574,12.26820901,,,0.183505025,1.102290461
'D0001442_GREY_BOT09_corr.dat',322.56,0.204844607,0.204049651,0.180800294,0.192623712,0.270928148,0.273629948,0.230951117,0.251615082,0.232328,213.044776,12.20391071,,,0.19656488,1.130789802
'D0001442_GREY_BOT10_corr.dat',325.12,0.219302933,0.216004937,0.189185401,0.203419668,0.271999691,0.275335938,0.231071335,0.252369575,0.228367,209.412539,12.23020645,,,0.208164512,1.150479548
NaN,327.68,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,#VALUE!,#VALUE!,,,NaN,#VALUE!
NaN,330.24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,#VALUE!,#VALUE!,,,NaN,#VALUE!
NaN,332.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,#VALUE!,#VALUE!,,,NaN,#VALUE!
NaN,335.36,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,#VALUE!,#VALUE!,,,NaN,#VALUE!
NaN,337.92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,#VALUE!,#VALUE!,,,NaN,#VALUE!
'D0001409_GREY_TOP00_corr.dat',340.48,0.205313326,0.204993546,0.177252298,0.191202867,0.265000959,0.262749921,0.229036857,0.246456148,0.293225,268.887325,11.47100617,,,0.195853344,1.157409175
'D0001409_GREY_TOP01_corr.dat',343.04,0.226549151,0.225835927,0.188818279,0.207505409,0.289486914,0.288683167,0.241562562,0.265323801,0.239149,219.299633,11.47052765,,,0.213735764,1.197937721
'D0001409_GREY_TOP02_corr.dat',345.6,0.224183938,0.230974571,0.206741234,0.217160244,0.299721376,0.301242671,0.258237059,0.279359541,0.220921,202.584557,11.15521591,,,0.22063296,1.100792764
'D0001409_GREY_TOP03_corr.dat',348.16,0.235278251,0.229830255,0.202996818,0.217775536,0.309287461,0.303926549,0.260151304,0.283379154,0.229996,210.906332,10.86888698,,,0.222701545,1.145605407
'D0001409_GREY_TOP04_corr.dat',350.72,0.252321747,0.245234612,0.20971738,0.22924778,0.315801326,0.313806731,0.262940954,0.288872491,0.224131,205.528127,10.74341135,,,0.235756265,1.186254472
'D0001409_GREY_TOP05_corr.dat',353.28,0.252190126,0.249235931,0.226673833,0.238693431,0.313813936,0.315951115,0.269726027,0.292304276,0.215982,198.055494,10.72879274,,,0.242702774,1.106051919
'D0001409_GREY_TOP06_corr.dat',355.84,0.243257196,0.240221532,0.237794089,0.239766727,0.309202661,0.308819205,0.27472498,0.291867956,0.224887,206.221379,10.62278997,,,0.240419435,1.016591138
'D0001409_GREY_TOP07_corr.dat',358.4,0.245893775,0.247465796,0.2411011,0.243890443,0.312775102,0.312283363,0.281135626,0.296832429,0.215107,197.253119,10.57691712,,,0.244818422,1.023138365
'D0001409_GREY_TOP08_corr.dat',360.96,0.245981302,0.241654164,0.236733446,0.24027559,0.311672558,0.30997132,0.278950962,0.29488645,0.212814,195.150438,10.67781852,,,0.241457457,1.029925165
'D0001409_GREY_BOT00_corr.dat',363.52,0.227794852,0.255273096,0.241547146,0.24154056,0.310122661,0.327449423,0.281583611,0.300184827,0.22285,204.35345,10.35562002,,,0.241543098,0.99994547
'D0001409_GREY_BOT01_corr.dat',366.08,0.222208163,0.234565859,0.232344582,0.230365797,0.301228331,0.313387152,0.27461469,0.290961216,0.240104,220.175368,10.44669817,,,0.229705561,0.9829668
'D0001409_GREY_BOT02_corr.dat',368.64,0.219549431,0.214375811,0.214781792,0.215872206,0.294486154,0.299884067,0.267920778,0.282552944,0.257959,236.548403,10.50480648,,,0.216235794,1.010153697
'D0001409_GREY_BOT03_corr.dat',371.2,0.215709773,0.205446593,0.21644211,0.213510147,0.293047408,0.293632108,0.271736382,0.28253807,0.257753,236.359501,10.50827593,,,0.212533613,0.972907641
'D0001409_GREY_BOT04_corr.dat',373.76,0.207762714,0.20195845,0.216165058,0.21051282,0.294149516,0.29432768,0.270847906,0.282543252,0.264149,242.224633,10.41753423,,,0.208628066,0.947704423
'D0001409_GREY_BOT05_corr.dat',376.32,0.20376165,0.209597896,0.218296909,0.212488341,0.297226981,0.301586095,0.273854284,0.286630411,0.264049,242.132933,10.27038265,,,0.210552514,0.946782865
'D0001409_GREY_BOT06_corr.dat',378.88,0.208704286,0.220264116,0.219775517,0.217129859,0.298616647,0.304228044,0.278951595,0.29018697,0.257183,235.836811,10.23915029,,,0.216249617,0.975923998
'D0001409_GREY_BOT07_corr.dat',381.44,0.214922482,0.217919007,0.211138731,0.213779738,0.295643594,0.300594182,0.272710725,0.285414807,0.264989,242.994913,10.30095122,,,0.214659958,1.025016794
'D0001409_GREY_BOT08_corr.dat',384,0.221133729,0.213012846,0.215298693,0.21618599,0.302756813,0.305425984,0.275148014,0.289619706,0.256156,234.895052,10.27338933,,,0.216481017,1.008242479
'D0001409_GREY_BOT09_corr.dat',386.56,0.220324156,0.21459875,0.230329457,0.223895455,0.307836859,0.308460694,0.285220175,0.296684476,0.240491,220.530247,10.23995608,,,0.221750663,0.944132184
'D0001409_GREY_BOT10_corr.dat',389.12,0.235795731,0.23909509,0.248444036,0.242944723,0.317459975,0.319067076,0.292130442,0.305196984,0.228847,209.852699,10.10695441,,,0.241112352,0.955729967
'D0001409_GREY_BOT11_corr.dat',391.68,0.252654481,0.247431808,0.246251119,0.248147132,0.323382211,0.319372182,0.292324788,0.306850992,0.243387,223.185879,9.862936992,,,0.248779019,1.015399017
NaN,394.24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,#VALUE!,#VALUE!,,,NaN,#VALUE!
NaN,396.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,#VALUE!,#VALUE!,,,NaN,#VALUE!
NaN,399.36,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,#VALUE!,#VALUE!,,,NaN,#VALUE!
NaN,401.92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,#VALUE!,#VALUE!,,,NaN,#VALUE!
'D0001499_GREY_TOP00_corr.dat',404.48,0.227204609,0.235707451,0.238623184,0.235039607,0.297396122,0.29676748,0.276512385,0.286797093,0.240216,220.278072,10.59681591,,,0.233828308,0.969964551
'D0001499_GREY_TOP01_corr.dat',407.04,0.222164343,0.229570391,0.240005878,0.232936623,0.297858232,0.296264772,0.27537628,0.286218891,0.246074,225.649858,10.53635554,,,0.230579482,0.941090981
'D0001499_GREY_TOP02_corr.dat',409.6,0.211252284,0.211612752,0.225286956,0.218359737,0.284835496,0.283716978,0.2700836,0.277179918,0.273477,250.778409,10.48449692,,,0.216051956,0.938503152
'D0001499_GREY_TOP03_corr.dat',412.16,0.212789287,0.22383201,0.229556668,0.223933658,0.286270111,0.289453026,0.274441772,0.28115167,0.263246,241.396582,10.48194379,,,0.222058758,0.951009832
'D0001499_GREY_TOP04_corr.dat',414.72,0.225214916,0.229726143,0.238581205,0.233025867,0.29462529,0.297744908,0.275293326,0.285739213,0.243455,223.248235,10.59070602,,,0.231174255,0.953430217
'D0001499_GREY_TOP05_corr.dat',417.28,0.235234762,0.225221298,0.23484202,0.232535025,0.298653784,0.297695024,0.279903411,0.289038907,0.245961,225.546237,10.43512109,,,0.23176657,0.980352792
'D0001499_GREY_TOP06_corr.dat',419.84,0.233614642,0.227650914,0.24602823,0.238330504,0.303206133,0.299986516,0.281929352,0.291762838,0.231639,212.412963,10.53404888,,,0.235749707,0.937424043
'D0001499_GREY_TOP07_corr.dat',422.4,0.216830292,0.214261894,0.238900031,0.227223062,0.287016129,0.285474082,0.275046661,0.280645883,0.252264,231.326088,10.65735925,,,0.223331621,0.902243888
'D0001499_GREY_TOP08_corr.dat',424.96,0.195203838,0.195782619,0.216212607,0.205852918,0.27082434,0.269131465,0.264724613,0.267351258,0.286722,262.924074,10.67177325,,,0.202400444,0.904171277
'D0001499_GREY_TOP09_corr.dat',427.52,0.209636336,0.212430285,0.23093227,0.22098279,0.283618965,0.283109739,0.274533045,0.278948699,0.270001,247.590917,10.46786027,,,0.217667065,0.913832054
