NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-6,NaN,NaN,NaN
-13,-21.8,-0.3,-0.4,-0.75,-6.8,-1.5,-12.1,-10.7,-2.9,-4.8,-2.7,-5.3,-3.8
-13,-22.7,-0.2,-0.5,-0.85,-8.1,-2.6,-13.2,-11,-2.6,-4.4,-3.6,-5.2,-3.1
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-6,NaN,NaN,NaN
-13.1,-22.1,-0.3,-0.4,-0.75,-7.3,-7.8,-13.2,-10.8,-2.8,-4.7,-2.8,-5.8,-4
-13.1,-22.1,-0.2,-0.5,-0.98,-8.2,-8.4,-14.3,-11.1,-2.1,-4.3,-3.7,-5.1,-3.8
